time,price,price1,label,color,trend,id
9:25,3681.88,0,9AM,BEAR,neg,1
9:30,3687.84,5.96,11AM,BULL,neg,2
9:35,3692.33,4.49,1PM,BULL,neg,3
9:40,3697.35,5.01,3PM,BULL,neg,4
9:45,3703.46,6.11,,BULL,pos,5
9:50,3706.79,3.33,,BULL,pos,6
9:55,3704.56,-2.23,,BEAR,pos,7
10:00,3706.09,1.53,,BULL,pos,8
10:05,3714.62,8.53,,BULL,pos,9
10:10,3716.05,1.43,,BULL,pos,10
10:15,3712.16,-3.89,,BEAR,pos,11
10:20,3712.51,0.36,,BULL,pos,12
10:25,3712.58,0.07,,BULL,pos,13
10:30,3713.62,1.04,,BULL,pos,14
10:35,3711.39,-2.23,,BEAR,pos,15
10:40,3711.07,-0.33,,BEAR,pos,16
10:45,3712.18,1.12,,BULL,pos,17
10:50,3712.23,0.04,,BULL,pos,18
10:55,3712.97,0.74,,BULL,pos,19
11:00,3713.44,0.47,,BULL,pos,20
11:05,3713.45,0.01,,BULL,pos,21
11:10,3711.48,-1.97,,BEAR,pos,22
11:15,3710.25,-1.23,,BEAR,pos,23
11:20,3711.93,1.69,,BULL,pos,24
11:25,3712.62,0.68,,BULL,pos,25
11:30,3712,-0.62,,BEAR,pos,26
13:00,3712.56,0.56,,BULL,pos,27
13:05,3712.72,0.17,,BULL,pos,28
13:10,3712.31,-0.41,,BEAR,pos,29
13:15,3711.77,-0.53,,BEAR,pos,30
13:20,3711.5,-0.27,,BEAR,pos,31
13:25,3711.41,-0.09,,BEAR,pos,32
13:30,3709.37,-2.05,,BEAR,pos,33
13:35,3707.82,-1.54,,BEAR,pos,34
13:40,3706.13,-1.69,,BEAR,pos,35
13:45,3703.13,-3.01,,BEAR,pos,36
13:50,3703.16,0.03,,BULL,pos,37
13:55,3702.1,-1.06,,BEAR,pos,38
14:00,3702.56,0.46,,BULL,pos,39
14:05,3699.6,-2.96,,BEAR,pos,40
14:10,3699.63,0.04,,BULL,pos,41
14:15,3702.7,3.06,,BULL,pos,42
14:20,3703.94,1.24,,BULL,pos,43
14:25,3705.16,1.22,,BULL,pos,44
14:30,3702.53,-2.63,,BEAR,pos,45
14:35,3704.73,2.21,,BULL,pos,46
14:40,3703.79,-0.94,,BEAR,pos,47
14:45,3704.24,0.45,,BULL,pos,48
14:50,3702.78,-1.47,,BEAR,pos,49
14:55,3706.31,3.53,,BULL,pos,50
15:00,3708.28,1.97,,BULL,pos,51
